GasDay;EEXSpotIndexEUR_MWh;EEXWithinDayEUR_MWh;ExchangeRateEUR_DKK;SalesPriceDKK_kWh;PurchasePriceDKK_kWh;NeutralGasPriceDKK_kWh;EEXHighestPricePurchaseDKK_kWh;EEXLowestPriceSaleDKK_kWh;MarginalSalePriceDKK_kWh;MarginalPurchasePriceDKK_kWh;THEPriceDKK_kWh
2023-12-31 00:00;32,179000;29,851000;745,290000;0,223600;0,221400;0,222500;;;0,223600;0,221400;0,235300
2023-12-30 00:00;32,179000;30,206000;745,290000;0,226200;0,224000;0,225100;;;0,226200;0,224000;0,235300
2023-12-29 00:00;34,176000;30,913000;745,290000;0,231500;0,229200;0,230400;;;0,231500;0,229200;0,242100
2023-12-28 00:00;36,370000;35,762000;745,450000;0,267900;0,265300;0,266600;;0,236300;0,267900;0,236300;0,261800
2023-12-27 00:00;33,800000;35,716000;745,490000;0,267600;0,264900;0,266300;;;0,267600;0,264900;0,248600
2023-12-26 00:00;33,367000;32,851000;745,600000;0,246200;0,243700;0,244900;;;0,246200;0,243700;0,245900
2023-12-25 00:00;33,367000;32,334000;745,600000;0,242300;0,239900;0,241100;;;0,242300;0,239900;0,245900
2023-12-24 00:00;33,367000;34,052000;745,600000;0,255200;0,252600;0,253900;;;0,255200;0,252600;0,245900
2023-12-23 00:00;33,367000;34,067000;745,600000;0,255300;0,252700;0,254000;;;0,255300;0,252700;0,245900
2023-12-22 00:00;35,646000;35,874000;745,600000;0,268800;0,266100;0,267500;;;0,268800;0,266100;0,254100
2023-12-21 00:00;33,288000;36,529000;745,580000;0,273700;0,271000;0,272400;;;0,273700;0,271000;0,245700
2023-12-20 00:00;32,799000;34,185000;745,650000;0,256200;0,253600;0,254900;;;0,256200;0,253600;0,243700
2023-12-19 00:00;35,830000;32,351000;745,640000;0,242400;0,240000;0,241200;;;0,242400;0,240000;0,256500
2023-12-18 00:00;33,615000;34,361000;745,490000;0,257400;0,254900;0,256200;;0,240000;0,257400;0,240000;0,243800
2023-12-17 00:00;33,119000;31,839000;745,560000;0,238600;0,236200;0,237400;;;0,238600;0,236200;0,241800
2023-12-16 00:00;33,119000;31,981000;745,560000;0,239600;0,237200;0,238400;;;0,239600;0,237200;0,241800
2023-12-15 00:00;36,703000;33,569000;745,560000;0,251500;0,249000;0,250300;;;0,251500;0,249000;0,261300
2023-12-14 00:00;37,498000;37,355000;745,660000;0,279900;0,277100;0,278500;;;0,279900;0,277100;0,266800
2023-12-13 00:00;36,882000;36,657000;745,660000;0,274700;0,272000;0,273300;;;0,274700;0,272000;0,262600
2023-12-12 00:00;37,794000;36,975000;745,690000;0,277100;0,274300;0,275700;;;0,277100;0,274300;0,269700
2023-12-11 00:00;40,844000;37,489000;745,630000;0,280900;0,278100;0,279500;;;0,280900;0,278100;0,293900
2023-12-10 00:00;40,532000;37,462000;745,580000;0,280700;0,277900;0,279300;;;0,280700;0,277900;0,293200
2023-12-09 00:00;40,532000;37,940000;745,580000;0,284300;0,281500;0,282900;;;0,284300;0,281500;0,293200
2023-12-08 00:00;42,427000;41,050000;745,580000;0,307600;0,304500;0,306100;;;0,307600;0,304500;0,300400
2023-12-07 00:00;42,053000;43,320000;745,510000;0,324600;0,321300;0,323000;;;0,324600;0,321300;0,296300
2023-12-06 00:00;42,627000;41,703000;745,570000;0,312500;0,309400;0,310900;;;0,312500;0,309400;0,294200
2023-12-05 00:00;44,795000;41,555000;745,590000;0,311400;0,308300;0,309800;;;0,311400;0,308300;0,309000
2023-12-04 00:00;47,600000;44,978000;745,640000;0,337100;0,333700;0,335400;;0,302000;0,337100;0,302000;0,324800
2023-12-03 00:00;47,649000;48,135000;745,430000;0,360600;0,357000;0,358800;;;0,360600;0,357000;0,323800
2023-12-02 00:00;47,649000;48,625000;745,430000;0,364300;0,360700;0,362500;;;0,364300;0,360700;0,323800
2023-12-01 00:00;45,913000;46,264000;745,430000;0,346600;0,343100;0,344900;0,366000;;0,366000;0,343100;0,314100
2023-11-30 00:00;46,266000;46,019000;745,480000;0,344800;0,341300;0,343100;0,372000;;0,372000;0,341300;0,318500
2023-11-29 00:00;47,162000;46,952000;745,650000;0,351800;0,348300;0,350100;0,364100;;0,364100;0,348300;0,328000
2023-11-28 00:00;48,448000;48,314000;745,600000;0,362000;0,358400;0,360200;0,392000;;0,392000;0,358400;0,337000
2023-11-27 00:00;50,604000;49,139000;745,540000;0,368200;0,364500;0,366400;0,381500;;0,381500;0,364500;0,354200
2023-11-26 00:00;50,469000;52,243000;745,590000;0,391500;0,387600;0,389500;0,393700;;0,393700;0,387600;0,352100
2023-11-25 00:00;50,469000;49,651000;745,590000;0,372000;0,368300;0,370200;;;0,372000;0,368300;0,352100
2023-11-24 00:00;49,351000;51,336000;745,590000;0,384700;0,380800;0,382800;;;0,384700;0,380800;0,348400
2023-11-23 00:00;48,138000;47,648000;745,590000;0,357000;0,353500;0,355300;;0,335500;0,357000;0,335500;0,334600
2023-11-22 00:00;48,723000;48,259000;745,470000;0,361600;0,358000;0,359800;;;0,361600;0,358000;0,337600
2023-11-21 00:00;49,825000;48,154000;745,560000;0,360800;0,357200;0,359000;;;0,360800;0,357200;0,345800
2023-11-20 00:00;48,931000;49,540000;745,650000;0,371200;0,367500;0,369400;;;0,371200;0,367500;0,339800
2023-11-19 00:00;48,855000;43,905000;745,820000;0,329100;0,325800;0,327500;;;0,329100;0,325800;0,338000
2023-11-18 00:00;48,855000;48,995000;745,820000;0,367200;0,363600;0,365400;;0,320700;0,367200;0,320700;0,338000
2023-11-17 00:00;49,943000;49,367000;745,820000;0,370000;0,366300;0,368200;;;0,370000;0,366300;0,346800
2023-11-16 00:00;49,940000;48,482000;745,920000;0,363400;0,359800;0,361600;0,394600;;0,394600;0,359800;0,348300
2023-11-15 00:00;47,025000;50,502000;745,880000;0,378600;0,374800;0,376700;0,377400;0,335800;0,378600;0,335800;0,327300
2023-11-14 00:00;44,398000;49,359000;745,970000;0,370000;0,366400;0,368200;;;0,370000;0,366400;0,309200
2023-11-13 00:00;45,762000;44,529000;745,980000;0,333800;0,330500;0,332200;0,339400;;0,339400;0,330500;0,321100
2023-11-12 00:00;45,341000;43,315000;745,770000;0,324600;0,321400;0,323000;;;0,324600;0,321400;0,315600
2023-11-11 00:00;45,341000;46,779000;745,770000;0,350600;0,347100;0,348900;;;0,350600;0,347100;0,315600
2023-11-10 00:00;48,027000;45,985000;745,770000;0,344700;0,341200;0,342900;;;0,344700;0,341200;0,331800
2023-11-09 00:00;46,937000;47,805000;745,840000;0,358300;0,354800;0,356500;;;0,358300;0,354800;0,327700
2023-11-08 00:00;46,161000;44,898000;745,800000;0,336500;0,333200;0,334800;0,357200;;0,357200;0,333200;0,321800
2023-11-07 00:00;44,405000;46,015000;745,770000;0,344900;0,341500;0,343200;0,348300;0,298500;0,348300;0,298500;0,310700
2023-11-06 00:00;43,201000;43,431000;745,870000;0,325600;0,322300;0,323900;0,340500;;0,340500;0,322300;0,308100
2023-11-05 00:00;41,963000;46,173000;746,250000;0,346300;0,342800;0,344600;;;0,346300;0,342800;0,304100
2023-11-04 00:00;41,963000;43,784000;746,250000;0,328400;0,325100;0,326700;;;0,328400;0,325100;0,304100
2023-11-03 00:00;39,871000;44,080000;746,250000;0,330600;0,327300;0,328900;;;0,330600;0,327300;0,287700
2023-11-02 00:00;37,902000;36,763000;746,350000;0,275800;0,273000;0,274400;;;0,275800;0,273000;0,282600
2023-11-01 00:00;43,153000;40,708000;746,440000;0,305400;0,302300;0,303900;0,320800;;0,320800;0,302300;0,314500
2023-10-31 00:00;52,166000;44,538000;746,470000;0,334100;0,330800;0,332500;;;0,334100;0,330800;0,367200
2023-10-30 00:00;51,368000;52,392000;746,390000;0,393000;0,389100;0,391000;;;0,393000;0,389100;0,359000
2023-10-29 00:00;50,820000;52,004000;746,390000;0,390100;0,386200;0,388200;;;0,390100;0,386200;0,357300
2023-10-28 00:00;50,820000;51,878000;746,390000;0,389100;0,385300;0,387200;0,469900;0,381200;0,469900;0,381200;0,357300
2023-10-27 00:00;51,438000;51,733000;746,390000;0,388100;0,384200;0,386100;;;0,388100;0,384200;0,363300
2023-10-26 00:00;51,637000;52,192000;746,320000;0,391500;0,387600;0,389500;0,392600;;0,392600;0,387600;0,365500
2023-10-25 00:00;51,670000;50,585000;746,390000;0,379400;0,375700;0,377600;;;0,379400;0,375700;0,364700
2023-10-24 00:00;49,651000;52,454000;746,480000;0,393500;0,389600;0,391600;;;0,393500;0,389600;0,354500
2023-10-23 00:00;49,793000;50,475000;746,340000;0,378600;0,374800;0,376700;;;0,378600;0,374800;0,349100
2023-10-22 00:00;49,008000;50,536000;746,200000;0,379000;0,375200;0,377100;;;0,379000;0,375200;0,344400
2023-10-21 00:00;49,008000;48,906000;746,200000;0,366800;0,363100;0,364900;;;0,366800;0,363100;0,344400
2023-10-20 00:00;47,264000;49,658000;746,200000;0,372400;0,368700;0,370500;0,373700;;0,373700;0,368700;0,335500
2023-10-19 00:00;49,530000;47,478000;746,250000;0,356100;0,352500;0,354300;;;0,356100;0,352500;0,353800
2023-10-18 00:00;48,109000;50,591000;746,100000;0,379300;0,375600;0,377500;;;0,379300;0,375600;0,340400
2023-10-17 00:00;51,469000;46,350000;746,100000;0,347500;0,344100;0,345800;;;0,347500;0,344100;0,364400
2023-10-16 00:00;54,784000;53,263000;745,920000;0,399300;0,395300;0,397300;;;0,399300;0,395300;0,397500
2023-10-15 00:00;52,376000;52,000000;745,820000;0,389800;0,385900;0,387800;;;0,389800;0,385900;0,390600
2023-10-14 00:00;52,376000;49,924000;745,820000;0,374200;0,370500;0,372300;;;0,374200;0,370500;0,390600
2023-10-13 00:00;48,810000;51,598000;745,820000;0,386800;0,382900;0,384800;;;0,386800;0,382900;0,355600
2023-10-12 00:00;46,308000;45,686000;745,620000;0,342300;0,338900;0,340600;;;0,342300;0,338900;0,339600
2023-10-11 00:00;46,602000;45,204000;745,670000;0,338800;0,335400;0,337100;;;0,338800;0,335400;0,334200
2023-10-10 00:00;41,012000;46,595000;745,640000;0,349200;0,345700;0,347400;;;0,349200;0,345700;0,291600
2023-10-09 00:00;31,686000;42,107000;745,710000;0,315600;0,312400;0,314000;0,329600;;0,329600;0,312400;0,230100
2023-10-08 00:00;30,904000;35,354000;745,750000;0,265000;0,262300;0,263700;;;0,265000;0,262300;0,226500
2023-10-07 00:00;30,904000;34,852000;745,750000;0,261200;0,258600;0,259900;;;0,261200;0,258600;0,226500
2023-10-06 00:00;31,323000;29,448000;745,750000;0,220700;0,218500;0,219600;;;0,220700;0,218500;0,218400
2023-10-05 00:00;33,567000;33,735000;745,780000;0,252800;0,250300;0,251600;;;0,252800;0,250300;0,239500
2023-10-04 00:00;29,208000;34,100000;745,890000;0,255600;0,253100;0,254300;0,275800;;0,275800;0,253100;0,215200
2023-10-03 00:00;35,815000;26,847000;745,840000;0,201200;0,199200;0,200200;;;0,201200;0,199200;0,253400
2023-10-02 00:00;40,925000;37,172000;745,850000;0,278600;0,275900;0,277200;;;0,278600;0,275900;0,284000
2023-10-01 00:00;40,010000;39,289000;745,710000;0,294400;0,291500;0,293000;;;0,294400;0,291500;0,281200
2023-09-30 00:00;40,010000;39,332000;745,710000;0,294800;0,291800;0,293300;;;0,294800;0,291800;0,281200
2023-09-29 00:00;42,656000;42,733000;745,710000;0,320300;0,317100;0,318700;;;0,320300;0,317100;0,304000
2023-09-28 00:00;41,513000;45,800000;745,580000;0,343200;0,339800;0,341500;0,348200;;0,348200;0,339800;0,297100
2023-09-27 00:00;44,547000;41,136000;745,660000;0,308300;0,305200;0,306700;;;0,308300;0,305200;0,308100
2023-09-26 00:00;47,320000;46,186000;745,750000;0,346200;0,342700;0,344400;;;0,346200;0,342700;0,334300
2023-09-25 00:00;43,196000;45,911000;745,710000;0,344100;0,340600;0,342400;;;0,344100;0,340600;0,304300
2023-09-24 00:00;42,941000;42,865000;745,570000;0,321200;0,318000;0,319600;0,419400;;0,419400;0,318000;0,303900
2023-09-23 00:00;42,941000;42,898000;745,570000;0,321400;0,318200;0,319800;;;0,321400;0,318200;0,303900
2023-09-22 00:00;41,472000;41,475000;745,570000;0,310800;0,307700;0,309200;;;0,310800;0,307700;0,289000
2023-09-21 00:00;40,486000;41,824000;745,470000;0,313300;0,310200;0,311800;;;0,313300;0,310200;0,279700
2023-09-20 00:00;38,693000;40,799000;745,280000;0,305600;0,302500;0,304100;;;0,305600;0,302500;0,270000
2023-09-19 00:00;38,199000;37,571000;745,510000;0,281500;0,278700;0,280100;;;0,281500;0,278700;0,260600
2023-09-18 00:00;38,339000;36,893000;745,510000;0,276400;0,273700;0,275000;;;0,276400;0,273700;0,268100
2023-09-17 00:00;38,053000;38,075000;745,730000;0,285400;0,282500;0,283900;;;0,285400;0,282500;0,268100
2023-09-16 00:00;38,053000;39,015000;745,730000;0,292400;0,289500;0,290900;;;0,292400;0,289500;0,268100
2023-09-15 00:00;38,897000;37,405000;745,730000;0,280300;0,277500;0,278900;;;0,280300;0,277500;0,269400
2023-09-14 00:00;38,977000;39,580000;746,010000;0,296700;0,293800;0,295300;;;0,296700;0,293800;0,275700
2023-09-13 00:00;38,438000;38,979000;746,090000;0,292300;0,289400;0,290800;;;0,292300;0,289400;0,270700
2023-09-12 00:00;39,351000;37,307000;746,010000;0,279700;0,276900;0,278300;;;0,279700;0,276900;0,278100
2023-09-11 00:00;37,232000;38,854000;745,820000;0,291200;0,288300;0,289800;;0,149200;0,291200;0,149200;0,258700
2023-09-10 00:00;36,061000;36,702000;745,910000;0,275100;0,272400;0,273800;;;0,275100;0,272400;0,258900
2023-09-09 00:00;36,061000;37,178000;745,910000;0,278700;0,275900;0,277300;;;0,278700;0,275900;0,258900
2023-09-08 00:00;34,400000;35,862000;745,910000;0,268800;0,266200;0,267500;;;0,268800;0,266200;0,238500
2023-09-07 00:00;34,511000;33,347000;745,990000;0,250000;0,247500;0,248800;;;0,250000;0,247500;0,235500
2023-09-06 00:00;35,341000;34,680000;745,630000;0,259900;0,257300;0,258600;;;0,259900;0,257300;0,242600
2023-09-05 00:00;35,935000;33,566000;745,330000;0,251400;0,248900;0,250200;;;0,251400;0,248900;0,240800
2023-09-04 00:00;35,703000;37,631000;745,270000;0,281900;0,279100;0,280500;;;0,281900;0,279100;0,243000
2023-09-03 00:00;35,549000;37,050000;745,280000;0,277500;0,274700;0,276100;;;0,277500;0,274700;0,243000
2023-09-02 00:00;35,549000;37,687000;745,280000;0,282300;0,279500;0,280900;;;0,282300;0,279500;0,243000
2023-09-01 00:00;37,633000;35,917000;745,280000;0,269000;0,266300;0,267700;0,269000;;0,269000;0,266300;0,249900
2023-08-31 00:00;39,356000;38,550000;745,230000;0,288700;0,285800;0,287300;;;0,288700;0,285800;0,268800
2023-08-30 00:00;40,581000;38,202000;745,310000;0,286100;0,283300;0,284700;;;0,286100;0,283300;0,273200
2023-08-29 00:00;38,358000;39,979000;745,290000;0,299500;0,296500;0,298000;;;0,299500;0,296500;0,263400
2023-08-28 00:00;38,011000;38,625000;745,300000;0,289300;0,286400;0,287900;;;0,289300;0,286400;0,259200
2023-08-27 00:00;38,011000;37,375000;745,370000;0,280000;0,277200;0,278600;;;0,280000;0,277200;0,259200
2023-08-26 00:00;38,011000;37,256000;745,370000;0,279100;0,276300;0,277700;;;0,279100;0,276300;0,259200
2023-08-25 00:00;36,387000;36,727000;745,370000;0,275100;0,272400;0,273800;;;0,275100;0,272400;0,244300
2023-08-24 00:00;43,518000;34,617000;745,390000;0,259300;0,256700;0,258000;;;0,259300;0,256700;0,287600
2023-08-23 00:00;45,984000;42,157000;745,310000;0,315800;0,312600;0,314200;;;0,315800;0,312600;0,317500
2023-08-22 00:00;42,249000;43,969000;745,350000;0,329400;0,326100;0,327700;;;0,329400;0,326100;0,291400
2023-08-21 00:00;37,383000;40,758000;745,240000;0,305300;0,302200;0,303700;;;0,305300;0,302200;0,253400
2023-08-20 00:00;37,028000;43,712000;745,140000;0,327300;0,324100;0,325700;;;0,327300;0,324100;0,252200
2023-08-19 00:00;37,028000;38,176000;745,140000;0,285900;0,283000;0,284500;;;0,285900;0,283000;0,252200
2023-08-18 00:00;39,175000;36,124000;745,140000;0,270500;0,267800;0,269200;;;0,270500;0,267800;0,260200
2023-08-17 00:00;39,257000;38,560000;745,180000;0,288800;0,285900;0,287300;;;0,288800;0,285900;0,266700
2023-08-16 00:00;38,625000;39,188000;745,200000;0,293500;0,290600;0,292000;;;0,293500;0,290600;0,266400
2023-08-15 00:00;36,288000;41,763000;745,190000;0,312800;0,309700;0,311200;0,338500;;0,338500;0,309700;0,241800
2023-08-14 00:00;37,788000;37,858000;745,150000;0,283500;0,280700;0,282100;;;0,283500;0,280700;0,248800
2023-08-13 00:00;37,448000;37,813000;745,100000;0,283200;0,280300;0,281700;;;0,283200;0,280300;0,247400
2023-08-12 00:00;37,448000;35,025000;745,100000;0,262300;0,259700;0,261000;;;0,262300;0,259700;0,247400
2023-08-11 00:00;39,902000;36,668000;745,100000;0,274600;0,271800;0,273200;;;0,274600;0,271800;0,269100
2023-08-10 00:00;37,889000;40,015000;745,120000;0,299700;0,296700;0,298200;;;0,299700;0,296700;0,275400
2023-08-09 00:00;33,150000;39,986000;745,110000;0,299400;0,296400;0,297900;;;0,299400;0,296400;0,222200
2023-08-08 00:00;32,773000;32,610000;745,150000;0,244200;0,241800;0,243000;;;0,244200;0,241800;0,219600
2023-08-07 00:00;31,942000;31,619000;745,150000;0,236800;0,234400;0,235600;;;0,236800;0,234400;0,213500
2023-08-06 00:00;31,856000;33,244000;745,140000;0,249000;0,246500;0,247700;;;0,249000;0,246500;0,213300
2023-08-05 00:00;31,856000;31,689000;745,140000;0,237300;0,235000;0,236100;;;0,237300;0,235000;0,213300
2023-08-04 00:00;32,899000;32,840000;745,140000;0,245900;0,243500;0,244700;;;0,245900;0,243500;0,222600
2023-08-03 00:00;30,517000;32,731000;745,170000;0,245100;0,242700;0,243900;;;0,245100;0,242700;0,205400
